x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,y,x1sq,x5sq,x6sq,x8sq,x11sq,x12sqrt,x13sq
0.00632,18,2.31,0,0.538,6.575,65.2,4.09,1,296,15.3,396.9,4.98,24,3.99424E-05,0.289444,43.230625,16.7281,234.09,19.9223492591,24.8004
0.02731,0,7.07,0,0.469,6.421,78.9,4.9671,2,242,17.8,396.9,9.14,21.6,0.0007458361,0.219961,41.229241,24.67208241,316.84,19.9223492591,83.5396
0.02729,0,7.07,0,0.469,7.185,61.1,4.9671,2,242,17.8,392.83,4.03,34.7,0.0007447441,0.219961,51.624225,24.67208241,316.84,19.819939455,16.2409
0.03237,0,2.18,0,0.458,6.998,45.8,6.0622,3,222,18.7,394.63,2.94,33.4,0.0010478169,0.209764,48.972004,36.75026884,349.69,19.8652963733,8.6436
0.06905,0,2.18,0,0.458,7.147,54.2,6.0622,3,222,18.7,396.9,5.33,36.2,0.0047679025,0.209764,51.079609,36.75026884,349.69,19.9223492591,28.4089
0.02985,0,2.18,0,0.458,6.43,58.7,6.0622,3,222,18.7,394.12,5.21,28.7,0.0008910225,0.209764,41.3449,36.75026884,349.69,19.8524557675,27.1441
0.08829,12.5,7.87,0,0.524,6.012,66.6,5.5605,5,311,15.2,395.6,12.43,22.9,0.0077951241,0.274576,36.144144,30.91916025,231.04,19.8896958247,154.5049
0.14455,12.5,7.87,0,0.524,6.172,96.1,5.9505,5,311,15.2,396.9,19.15,27.1,0.0208947025,0.274576,38.093584,35.40845025,231.04,19.9223492591,366.7225
0.21124,12.5,7.87,0,0.524,5.631,100,6.0821,5,311,15.2,386.63,29.93,16.5,0.0446223376,0.274576,31.708161,36.99194041,231.04,19.6629092456,895.8049
0.17004,12.5,7.87,0,0.524,6.004,85.9,6.5921,5,311,15.2,386.71,17.1,18.9,0.0289136016,0.274576,36.048016,43.45578241,231.04,19.6649434273,292.41
0.22489,12.5,7.87,0,0.524,6.377,94.3,6.3467,5,311,15.2,392.52,20.45,15,0.0505755121,0.274576,40.666129,40.28060089,231.04,19.8121175042,418.2025
0.11747,12.5,7.87,0,0.524,6.009,82.9,6.2267,5,311,15.2,396.9,13.27,18.9,0.0137992009,0.274576,36.108081,38.77179289,231.04,19.9223492591,176.0929
0.09378,12.5,7.87,0,0.524,5.889,39,5.4509,5,311,15.2,390.5,15.71,21.7,0.0087946884,0.274576,34.680321,29.71231081,231.04,19.7610728454,246.8041
0.62976,0,8.14,0,0.538,5.949,61.8,4.7075,4,307,21,396.9,8.26,20.4,0.3965976576,0.289444,35.390601,22.16055625,441,19.9223492591,68.2276
0.63796,0,8.14,0,0.538,6.096,84.5,4.4619,4,307,21,380.02,10.26,18.2,0.4069929616,0.289444,37.161216,19.90855161,441,19.494101672,105.2676
0.62739,0,8.14,0,0.538,5.834,56.5,4.4986,4,307,21,395.62,8.47,19.9,0.3936182121,0.289444,34.035556,20.23740196,441,19.8901985913,71.7409
1.05393,0,8.14,0,0.538,5.935,29.3,4.4986,4,307,21,386.85,6.58,23.1,1.1107684449,0.289444,35.224225,20.23740196,441,19.6685027392,43.2964
0.7842,0,8.14,0,0.538,5.99,81.7,4.2579,4,307,21,386.75,14.67,17.5,0.61496964,0.289444,35.8801,18.12971241,441,19.6659604393,215.2089
0.80271,0,8.14,0,0.538,5.456,36.6,3.7965,4,307,21,288.99,11.69,20.2,0.6443433441,0.289444,29.767936,14.41341225,441,16.9997058798,136.6561
0.7258,0,8.14,0,0.538,5.727,69.5,3.7965,4,307,21,390.95,11.28,18.2,0.52678564,0.289444,32.798529,14.41341225,441,19.7724555885,127.2384
1.25179,0,8.14,0,0.538,5.57,98.1,3.7979,4,307,21,376.57,21.02,13.6,1.5669782041,0.289444,31.0249,14.42404441,441,19.4054116164,441.8404
0.85204,0,8.14,0,0.538,5.965,89.2,4.0123,4,307,21,392.53,13.83,19.6,0.7259721616,0.289444,35.581225,16.09855129,441,19.8123698734,191.2689
1.23247,0,8.14,0,0.538,6.142,91.7,3.9769,4,307,21,396.9,18.72,15.2,1.5189823009,0.289444,37.724164,15.81573361,441,19.9223492591,350.4384
0.98843,0,8.14,0,0.538,5.813,100,4.0952,4,307,21,394.54,19.88,14.5,0.9769938649,0.289444,33.790969,16.77066304,441,19.8630309872,395.2144
0.75026,0,8.14,0,0.538,5.924,94.1,4.3996,4,307,21,394.33,16.3,15.6,0.5628900676,0.289444,35.093776,19.35648016,441,19.8577440813,265.69
0.84054,0,8.14,0,0.538,5.599,85.7,4.4546,4,307,21,303.42,16.51,13.9,0.7065074916,0.289444,31.348801,19.84346116,441,17.4189551925,272.5801
0.67191,0,8.14,0,0.538,5.813,90.3,4.682,4,307,21,376.88,14.81,16.6,0.4514630481,0.289444,33.790969,21.921124,441,19.4133974358,219.3361
0.95577,0,8.14,0,0.538,6.047,88.8,4.4534,4,307,21,306.38,17.28,14.8,0.9134962929,0.289444,36.566209,19.83277156,441,17.5037138916,298.5984
0.77299,0,8.14,0,0.538,6.495,94.4,4.4547,4,307,21,387.94,12.8,18.4,0.5975135401,0.289444,42.185025,19.84435209,441,19.6961925255,163.84
1.00245,0,8.14,0,0.538,6.674,87.3,4.239,4,307,21,380.23,11.98,21,1.0049060025,0.289444,44.542276,17.969121,441,19.4994871727,143.5204
1.13081,0,8.14,0,0.538,5.713,94.1,4.233,4,307,21,360.17,22.6,12.7,1.2787312561,0.289444,32.638369,17.918289,441,18.9781453256,510.76
1.35472,0,8.14,0,0.538,6.072,100,4.175,4,307,21,376.73,13.04,14.5,1.8352662784,0.289444,36.869184,17.430625,441,19.4095337399,170.0416
1.38799,0,8.14,0,0.538,5.95,82,3.99,4,307,21,232.6,27.71,13.2,1.9265162401,0.289444,35.4025,15.9201,441,15.2512294586,767.8441
1.15172,0,8.14,0,0.538,5.701,95,3.7872,4,307,21,358.77,18.35,13.1,1.3264589584,0.289444,32.501401,14.34288384,441,18.9412248812,336.7225
1.61282,0,8.14,0,0.538,6.096,96.9,3.7598,4,307,21,248.31,20.34,13.5,2.6011883524,0.289444,37.161216,14.13609604,441,15.757855184,413.7156
0.06417,0,5.96,0,0.499,5.933,68.2,3.3603,5,279,19.2,396.9,9.68,18.9,0.0041177889,0.249001,35.200489,11.29161609,368.64,19.9223492591,93.7024
0.09744,0,5.96,0,0.499,5.841,61.4,3.3779,5,279,19.2,377.56,11.41,20,0.0094945536,0.249001,34.117281,11.41020841,368.64,19.4309032214,130.1881
0.08014,0,5.96,0,0.499,5.85,41.5,3.9342,5,279,19.2,396.9,8.77,21,0.0064224196,0.249001,34.2225,15.47792964,368.64,19.9223492591,76.9129
0.17505,0,5.96,0,0.499,5.966,30.2,3.8473,5,279,19.2,393.43,10.13,24.7,0.0306425025,0.249001,35.593156,14.80171729,368.64,19.835069952,102.6169
0.02763,75,2.95,0,0.428,6.595,21.8,5.4011,3,252,18.3,395.63,4.32,30.8,0.0007634169,0.183184,43.494025,29.17188121,334.89,19.8904499698,18.6624
0.03359,75,2.95,0,0.428,7.024,15.8,5.4011,3,252,18.3,395.62,1.98,34.9,0.0011282881,0.183184,49.336576,29.17188121,334.89,19.8901985913,3.9204
0.12744,0,6.91,0,0.448,6.77,2.9,5.7209,3,233,17.9,385.41,4.84,26.6,0.0162409536,0.200704,45.8329,32.72869681,320.41,19.6318618577,23.4256
0.1415,0,6.91,0,0.448,6.169,6.6,5.7209,3,233,17.9,383.37,5.81,25.3,0.02002225,0.200704,38.056561,32.72869681,320.41,19.5798365672,33.7561
0.15936,0,6.91,0,0.448,6.211,6.5,5.7209,3,233,17.9,394.46,7.44,24.7,0.0253956096,0.200704,38.576521,32.72869681,320.41,19.8610170938,55.3536
0.12269,0,6.91,0,0.448,6.069,40,5.7209,3,233,17.9,389.39,9.55,21.2,0.0150528361,0.200704,36.832761,32.72869681,320.41,19.7329673389,91.2025
0.17142,0,6.91,0,0.448,5.682,33.8,5.1004,3,233,17.9,396.9,10.21,19.3,0.0293848164,0.200704,32.285124,26.01408016,320.41,19.9223492591,104.2441
0.18836,0,6.91,0,0.448,5.786,33.3,5.1004,3,233,17.9,396.9,14.15,20,0.0354794896,0.200704,33.477796,26.01408016,320.41,19.9223492591,200.2225
0.22927,0,6.91,0,0.448,6.03,85.5,5.6894,3,233,17.9,392.74,18.8,16.6,0.0525647329,0.200704,36.3609,32.36927236,320.41,19.8176688841,353.44
0.25387,0,6.91,0,0.448,5.399,95.3,5.87,3,233,17.9,396.9,30.81,14.4,0.0644499769,0.200704,29.149201,34.4569,320.41,19.9223492591,949.2561
0.21977,0,6.91,0,0.448,5.602,62,6.0877,3,233,17.9,396.9,16.2,19.4,0.0482988529,0.200704,31.382404,37.06009129,320.41,19.9223492591,262.44
0.08873,21,5.64,0,0.439,5.963,45.7,6.8147,4,243,16.8,395.56,13.45,19.7,0.0078730129,0.192721,35.557369,46.44013609,282.24,19.8886902535,180.9025
0.04337,21,5.64,0,0.439,6.115,63,6.8147,4,243,16.8,393.97,9.43,20.5,0.0018809569,0.192721,37.393225,46.44013609,282.24,19.8486775378,88.9249
0.0536,21,5.64,0,0.439,6.511,21.1,6.8147,4,243,16.8,396.9,5.28,25,0.00287296,0.192721,42.393121,46.44013609,282.24,19.9223492591,27.8784
0.04981,21,5.64,0,0.439,5.998,21.4,6.8147,4,243,16.8,396.9,8.43,23.4,0.0024810361,0.192721,35.976004,46.44013609,282.24,19.9223492591,71.0649
0.0136,75,4,0,0.41,5.888,47.6,7.3197,3,469,21.1,396.9,14.8,18.9,0.00018496,0.1681,34.668544,53.57800809,445.21,19.9223492591,219.04
0.01311,90,1.22,0,0.403,7.249,21.9,8.6966,5,226,17.9,395.93,4.81,35.4,0.0001718721,0.162409,52.548001,75.63085156,320.41,19.8979898482,23.1361
0.02055,85,0.74,0,0.41,6.383,35.7,9.1876,2,313,17.3,396.9,5.77,24.7,0.0004223025,0.1681,40.742689,84.41199376,299.29,19.9223492591,33.2929
0.01432,100,1.32,0,0.411,6.816,40.5,8.3248,5,256,15.1,392.9,3.95,31.6,0.0002050624,0.168921,46.457856,69.30229504,228.01,19.8217052748,15.6025
0.15445,25,5.13,0,0.453,6.145,29.2,7.8148,8,284,19.7,390.68,6.86,23.3,0.0238548025,0.205209,37.761025,61.07109904,388.09,19.7656267292,47.0596
0.10328,25,5.13,0,0.453,5.927,47.2,6.932,8,284,19.7,396.9,9.22,19.6,0.0106667584,0.205209,35.129329,48.052624,388.09,19.9223492591,85.0084
0.14932,25,5.13,0,0.453,5.741,66.2,7.2254,8,284,19.7,395.11,13.15,18.7,0.0222964624,0.205209,32.959081,52.20640516,388.09,19.877374072,172.9225
0.17171,25,5.13,0,0.453,5.966,93.4,6.8185,8,284,19.7,378.08,14.44,16,0.0294843241,0.205209,35.593156,46.49194225,388.09,19.4442793644,208.5136
0.11027,25,5.13,0,0.453,6.456,67.8,7.2255,8,284,19.7,396.9,6.73,22.2,0.0121594729,0.205209,41.679936,52.20785025,388.09,19.9223492591,45.2929
0.1265,25,5.13,0,0.453,6.762,43.4,7.9809,8,284,19.7,395.58,9.5,25,0.01600225,0.205209,45.724644,63.69476481,388.09,19.8891930455,90.25
0.01951,17.5,1.38,0,0.4161,7.104,59.5,9.2229,3,216,18.6,393.24,8.05,33,0.0003806401,0.17313921,50.466816,85.06188441,345.96,19.830279877,64.8025
0.03584,80,3.37,0,0.398,6.29,17.8,6.6115,4,337,16.1,396.9,4.67,23.5,0.0012845056,0.158404,39.5641,43.71193225,259.21,19.9223492591,21.8089
0.04379,80,3.37,0,0.398,5.787,31.1,6.6115,4,337,16.1,396.9,10.24,19.4,0.0019175641,0.158404,33.489369,43.71193225,259.21,19.9223492591,104.8576
0.05789,12.5,6.07,0,0.409,5.878,21.4,6.498,4,345,18.9,396.21,8.1,22,0.0033512521,0.167281,34.550884,42.224004,357.21,19.9050244913,65.61
0.13554,12.5,6.07,0,0.409,5.594,36.8,6.498,4,345,18.9,396.9,13.09,17.4,0.0183710916,0.167281,31.292836,42.224004,357.21,19.9223492591,171.3481
0.12816,12.5,6.07,0,0.409,5.885,33,6.498,4,345,18.9,396.9,8.79,20.9,0.0164249856,0.167281,34.633225,42.224004,357.21,19.9223492591,77.2641
0.08826,0,10.81,0,0.413,6.417,6.6,5.2873,4,305,19.2,383.73,6.72,24.2,0.0077898276,0.170569,41.177889,27.95554129,368.64,19.5890275409,45.1584
0.15876,0,10.81,0,0.413,5.961,17.5,5.2873,4,305,19.2,376.94,9.88,21.7,0.0252047376,0.170569,35.533521,27.95554129,368.64,19.4149426989,97.6144
0.09164,0,10.81,0,0.413,6.065,7.8,5.2873,4,305,19.2,390.91,5.52,22.8,0.0083978896,0.170569,36.784225,27.95554129,368.64,19.7714440545,30.4704
0.19539,0,10.81,0,0.413,6.245,6.2,5.2873,4,305,19.2,377.17,7.54,23.4,0.0381772521,0.170569,39.000025,27.95554129,368.64,19.4208650683,56.8516
0.07896,0,12.83,0,0.437,6.273,6,4.2515,5,398,18.7,394.92,6.78,24.1,0.0062346816,0.190969,39.350529,18.07525225,349.69,19.872594194,45.9684
0.09512,0,12.83,0,0.437,6.286,45,4.5026,5,398,18.7,383.23,8.94,21.4,0.0090478144,0.190969,39.513796,20.27340676,349.69,19.5762611343,79.9236
0.10153,0,12.83,0,0.437,6.279,74.5,4.0522,5,398,18.7,373.66,11.97,20,0.0103083409,0.190969,39.425841,16.42032484,349.69,19.3302871163,143.2809
0.08707,0,12.83,0,0.437,6.14,45.8,4.0905,5,398,18.7,386.96,10.27,20.8,0.0075811849,0.190969,37.6996,16.73219025,349.69,19.6712988895,105.4729
0.05646,0,12.83,0,0.437,6.232,53.7,5.0141,5,398,18.7,386.4,12.34,21.2,0.0031877316,0.190969,38.837824,25.14119881,349.69,19.6570598005,152.2756
0.08387,0,12.83,0,0.437,5.874,36.6,4.5026,5,398,18.7,396.06,9.1,20.3,0.0070341769,0.190969,34.503876,20.27340676,349.69,19.9012562418,82.81
0.04113,25,4.86,0,0.426,6.727,33.5,5.4007,4,281,19,396.9,5.29,28,0.0016916769,0.181476,45.252529,29.16756049,361,19.9223492591,27.9841
0.04462,25,4.86,0,0.426,6.619,70.4,5.4007,4,281,19,395.63,7.22,23.9,0.0019909444,0.181476,43.811161,29.16756049,361,19.8904499698,52.1284
0.03659,25,4.86,0,0.426,6.302,32.2,5.4007,4,281,19,396.9,6.72,24.8,0.0013388281,0.181476,39.715204,29.16756049,361,19.9223492591,45.1584
0.03551,25,4.86,0,0.426,6.167,46.7,5.4007,4,281,19,390.64,7.51,22.9,0.0012609601,0.181476,38.031889,29.16756049,361,19.7646148457,56.4001
0.05059,0,4.49,0,0.449,6.389,48,4.7794,3,247,18.5,396.9,9.62,23.9,0.0025593481,0.201601,40.819321,22.84266436,342.25,19.9223492591,92.5444
0.05735,0,4.49,0,0.449,6.63,56.1,4.4377,3,247,18.5,392.3,6.53,26.6,0.0032890225,0.201601,43.9569,19.69318129,342.25,19.8065645683,42.6409
0.05188,0,4.49,0,0.449,6.015,45.1,4.4272,3,247,18.5,395.99,12.86,22.5,0.0026915344,0.201601,36.180225,19.60009984,342.25,19.8994974811,165.3796
0.07151,0,4.49,0,0.449,6.121,56.8,3.7476,3,247,18.5,395.15,8.44,22.2,0.0051136801,0.201601,37.466641,14.04450576,342.25,19.8783802157,71.2336
0.0566,0,3.41,0,0.489,7.007,86.3,3.4217,2,270,17.8,396.9,5.5,23.6,0.00320356,0.239121,49.098049,11.70803089,316.84,19.9223492591,30.25
0.05302,0,3.41,0,0.489,7.079,63.1,3.4145,2,270,17.8,396.06,5.7,28.7,0.0028111204,0.239121,50.112241,11.65881025,316.84,19.9012562418,32.49
0.04684,0,3.41,0,0.489,6.417,66.1,3.0923,2,270,17.8,392.18,8.81,22.6,0.0021939856,0.239121,41.177889,9.56231929,316.84,19.803535038,77.6161
0.03932,0,3.41,0,0.489,6.405,73.9,3.0921,2,270,17.8,393.55,8.2,22,0.0015460624,0.239121,41.024025,9.56108241,316.84,19.8380946666,67.24
0.04203,28,15.04,0,0.464,6.442,53.6,3.6659,4,270,18.2,395.01,8.16,22.9,0.0017665209,0.215296,41.499364,13.43882281,331.24,19.8748584901,66.5856
0.02875,28,15.04,0,0.464,6.211,28.9,3.6659,4,270,18.2,396.33,6.21,25,0.0008265625,0.215296,38.576521,13.43882281,331.24,19.9080385774,38.5641
0.04294,28,15.04,0,0.464,6.249,77.3,3.615,4,270,18.2,396.9,10.59,20.6,0.0018438436,0.215296,39.050001,13.068225,331.24,19.9223492591,112.1481
0.12204,0,2.89,0,0.445,6.625,57.8,3.4952,2,276,18,357.98,6.65,28.4,0.0148937616,0.198025,43.890625,12.21642304,324,18.9203594046,44.2225
0.11504,0,2.89,0,0.445,6.163,69.6,3.4952,2,276,18,391.83,11.34,21.4,0.0132342016,0.198025,37.982569,12.21642304,324,19.7946962594,128.5956
0.12083,0,2.89,0,0.445,8.069,76,3.4952,2,276,18,396.9,4.21,38.7,0.0145998889,0.198025,65.108761,12.21642304,324,19.9223492591,17.7241
0.08187,0,2.89,0,0.445,7.82,36.9,3.4952,2,276,18,393.53,3.57,43.8,0.0067026969,0.198025,61.1524,12.21642304,324,19.8375905795,12.7449
0.0686,0,2.89,0,0.445,7.416,62.5,3.4952,2,276,18,396.9,6.19,33.2,0.00470596,0.198025,54.997056,12.21642304,324,19.9223492591,38.3161
0.14866,0,8.56,0,0.52,6.727,79.9,2.7778,5,384,20.9,394.76,9.42,27.5,0.0220997956,0.2704,45.252529,7.71617284,436.81,19.8685681417,88.7364
0.11432,0,8.56,0,0.52,6.781,71.3,2.8561,5,384,20.9,395.58,7.67,26.5,0.0130690624,0.2704,45.981961,8.15730721,436.81,19.8891930455,58.8289
0.22876,0,8.56,0,0.52,6.405,85.4,2.7147,5,384,20.9,70.8,10.63,18.6,0.0523311376,0.2704,41.024025,7.36959609,436.81,8.4142735872,112.9969
0.21161,0,8.56,0,0.52,6.137,87.4,2.7147,5,384,20.9,394.47,13.44,19.3,0.0447787921,0.2704,37.662769,7.36959609,436.81,19.8612688416,180.6336
0.1396,0,8.56,0,0.52,6.167,90,2.421,5,384,20.9,392.69,12.33,20.1,0.01948816,0.2704,38.031889,5.861241,436.81,19.8164073434,152.0289
0.13262,0,8.56,0,0.52,5.851,96.7,2.1069,5,384,20.9,394.05,16.47,19.5,0.0175880644,0.2704,34.234201,4.43902761,436.81,19.8506926831,271.2609
0.1712,0,8.56,0,0.52,5.836,91.9,2.211,5,384,20.9,395.67,18.66,19.5,0.02930944,0.2704,34.058896,4.888521,436.81,19.891455452,348.1956
0.13117,0,8.56,0,0.52,6.127,85.2,2.1224,5,384,20.9,387.69,14.09,20.4,0.0172055689,0.2704,37.540129,4.50458176,436.81,19.6898450984,198.5281
0.12802,0,8.56,0,0.52,6.474,97.1,2.4329,5,384,20.9,395.24,12.27,19.8,0.0163891204,0.2704,41.912676,5.91900241,436.81,19.8806438528,150.5529
0.26363,0,8.56,0,0.52,6.229,91.2,2.5451,5,384,20.9,391.23,15.55,19.4,0.0695007769,0.2704,38.800441,6.47753401,436.81,19.7795348783,241.8025
0.10793,0,8.56,0,0.52,6.195,54.4,2.7778,5,384,20.9,393.49,13,21.7,0.0116488849,0.2704,38.378025,7.71617284,436.81,19.8365823669,169
0.10084,0,10.01,0,0.547,6.715,81.6,2.6775,6,432,17.8,395.59,10.16,22.8,0.0101687056,0.299209,45.091225,7.16900625,316.84,19.8894444367,103.2256
0.12329,0,10.01,0,0.547,5.913,92.9,2.3534,6,432,17.8,394.95,16.21,18.8,0.0152004241,0.299209,34.963569,5.53849156,316.84,19.873348988,262.7641
0.22212,0,10.01,0,0.547,6.092,95.4,2.548,6,432,17.8,396.9,17.09,18.7,0.0493372944,0.299209,37.112464,6.492304,316.84,19.9223492591,292.0681
0.14231,0,10.01,0,0.547,6.254,84.2,2.2565,6,432,17.8,388.74,10.45,18.5,0.0202521361,0.299209,39.112516,5.09179225,316.84,19.7164905599,109.2025
0.17134,0,10.01,0,0.547,5.928,88.2,2.4631,6,432,17.8,344.91,15.76,18.3,0.0293573956,0.299209,35.141184,6.06686161,316.84,18.5717527444,248.3776
0.13158,0,10.01,0,0.547,6.176,72.5,2.7301,6,432,17.8,393.3,12.04,21.2,0.0173132964,0.299209,38.142976,7.45344601,316.84,19.8317926572,144.9616
0.15098,0,10.01,0,0.547,6.021,82.6,2.7474,6,432,17.8,394.51,10.3,19.2,0.0227949604,0.299209,36.252441,7.54820676,316.84,19.8622758011,106.09
0.13058,0,10.01,0,0.547,5.872,73.1,2.4775,6,432,17.8,338.63,15.37,20.4,0.0170511364,0.299209,34.480384,6.13800625,316.84,18.4019020756,236.2369
0.14476,0,10.01,0,0.547,5.731,65.2,2.7592,6,432,17.8,391.5,13.61,19.3,0.0209554576,0.299209,32.844361,7.61318464,316.84,19.7863589374,185.2321
0.06899,0,25.65,0,0.581,5.87,69.7,2.2577,2,188,19.1,389.15,14.37,22,0.0047596201,0.337561,34.4569,5.09720929,364.81,19.7268852078,206.4969
0.07165,0,25.65,0,0.581,6.004,84.1,2.1974,2,188,19.1,377.67,14.27,20.3,0.0051337225,0.337561,36.048016,4.82856676,364.81,19.4337335579,203.6329
0.09299,0,25.65,0,0.581,5.961,92.9,2.0869,2,188,19.1,378.09,17.93,20.5,0.0086471401,0.337561,35.533521,4.35515161,364.81,19.4445365077,321.4849
0.15038,0,25.65,0,0.581,5.856,97,1.9444,2,188,19.1,370.31,25.41,17.3,0.0226141444,0.337561,34.292736,3.78069136,364.81,19.2434404408,645.6681
0.09849,0,25.65,0,0.581,5.879,95.8,2.0063,2,188,19.1,379.38,17.58,18.8,0.0097002801,0.337561,34.562641,4.02523969,364.81,19.4776795333,309.0564
0.16902,0,25.65,0,0.581,5.986,88.4,1.9929,2,188,19.1,385.02,14.81,21.4,0.0285677604,0.337561,35.832196,3.97165041,364.81,19.6219265109,219.3361
